Base Model;SCP Adv;SCP Default;Trivial Adv;Trivial Default;Unstruct Adv;Unstruct Default
0.6510985;0.5007725;0.5;0.50027144;0.4783777;0.5;0.48113137
0.52095807;0.49968746;0.5;0.49984273;0.48271307;0.5;0.5925163
0.5141148;0.49906737;0.5;0.4999213;0.46678963;0.5;0.6060387
0.4704703;0.4997977;0.5;0.50006926;0.47812366;0.5;0.5869223
0.44471398;0.4988686;0.5;0.50003433;0.48752695;0.5;0.58504224
0.4182782;0.499503;0.5;0.50011307;0.45224944;0.5;0.5903928
0.4887533;0.49921668;0.5;0.50002646;0.4665593;0.5;0.577994
0.4954395;0.49937758;0.5;0.49985915;0.4452794;0.5;0.5955707
0.5016092;0.4987063;0.5;0.4999775;0.4658717;0.5;0.56662315
0.5344697;0.49884883;0.5;0.49949303;0.43193695;0.5;0.56898075
0.57017064;0.49937928;0.5;0.4997481;0.4447687;0.5;0.5784451
0.5657199;0.49950355;0.5;0.49971902;0.41727486;0.5;0.58912814
0.565784;0.49868342;0.5;0.50016934;0.44495124;0.5;0.5884185
0.5607878;0.4993746;0.5;0.49884778;0.41611564;0.5;0.5737957
0.57286924;0.4999475;0.5;0.4995215;0.42826718;0.5;0.6048833
0.5724707;0.50105524;0.5;0.5004205;0.44042006;0.5;0.5918053
0.49862385;0.5012089;0.5;0.50084126;0.48600984;0.5;0.55810845
